source_schema	source_table	source_column	target_schema	target_table	target_column	declaration_kind	declaration_paths
fleet	vehicle_assignment	updated_by_id	public	people	id	mixin_expansion	app/models/fleet/vehicle_assignment.py:25 via app/models/people/base.py:66
fleet	vehicle_document	created_by_id	public	people	id	mixin_expansion	app/models/fleet/vehicle_document.py:25 via app/models/people/base.py:61
fleet	vehicle_document	updated_by_id	public	people	id	mixin_expansion	app/models/fleet/vehicle_document.py:25 via app/models/people/base.py:66
fleet	vehicle_incident	created_by_id	public	people	id	mixin_expansion	app/models/fleet/vehicle_incident.py:26 via app/models/people/base.py:61
fleet	vehicle_incident	driver_id	hr	employee	employee_id	explicit	app/models/fleet/vehicle_incident.py:69
fleet	vehicle_incident	reported_by_id	hr	employee	employee_id	explicit	app/models/fleet/vehicle_incident.py:63
fleet	vehicle_incident	updated_by_id	public	people	id	mixin_expansion	app/models/fleet/vehicle_incident.py:26 via app/models/people/base.py:66
fleet	vehicle_reservation	approved_by_id	hr	employee	employee_id	explicit	app/models/fleet/vehicle_reservation.py:118
fleet	vehicle_reservation	created_by_id	public	people	id	mixin_expansion	app/models/fleet/vehicle_reservation.py:25 via app/models/people/base.py:61
fleet	vehicle_reservation	employee_id	hr	employee	employee_id	explicit	app/models/fleet/vehicle_reservation.py:71
fleet	vehicle_reservation	updated_by_id	public	people	id	mixin_expansion	app/models/fleet/vehicle_reservation.py:25 via app/models/people/base.py:66
hr	asset_assignment	created_by_id	public	people	id	mixin_expansion	app/models/people/assets/assignment.py:48 via app/models/people/base.py:61
hr	asset_assignment	employee_id	hr	employee	employee_id	explicit	app/models/people/assets/assignment.py:79
hr	asset_assignment	updated_by_id	public	people	id	mixin_expansion	app/models/people/assets/assignment.py:48 via app/models/people/base.py:66
hr	asset_assignment_movement	created_by_id	public	people	id	mixin_expansion	app/models/people/assets/assignment.py:119 via app/models/people/base.py:61
hr	asset_assignment_movement	from_employee_id	hr	employee	employee_id	explicit	app/models/people/assets/assignment.py:163
hr	asset_assignment_movement	to_employee_id	hr	employee	employee_id	explicit	app/models/people/assets/assignment.py:168
hr	asset_assignment_movement	updated_by_id	public	people	id	mixin_expansion	app/models/people/assets/assignment.py:119 via app/models/people/base.py:66
hr	asset_audit_adjustment	created_by_id	public	people	id	mixin_expansion	app/models/people/assets/audit.py:154 via app/models/people/base.py:61
hr	asset_audit_adjustment	updated_by_id	public	people	id	mixin_expansion	app/models/people/assets/audit.py:154 via app/models/people/base.py:66
hr	asset_audit_discrepancy	created_by_id	public	people	id	mixin_expansion	app/models/people/assets/audit.py:207 via app/models/people/base.py:61
hr	asset_audit_discrepancy	updated_by_id	public	people	id	mixin_expansion	app/models/people/assets/audit.py:207 via app/models/people/base.py:66
hr	asset_audit_line	created_by_id	public	people	id	mixin_expansion	app/models/people/assets/audit.py:99 via app/models/people/base.py:61
hr	asset_audit_line	updated_by_id	public	people	id	mixin_expansion	app/models/people/assets/audit.py:99 via app/models/people/base.py:66
hr	asset_audit_plan	created_by_id	public	people	id	mixin_expansion	app/models/people/assets/audit.py:50 via app/models/people/base.py:61
hr	asset_audit_plan	updated_by_id	public	people	id	mixin_expansion	app/models/people/assets/audit.py:50 via app/models/people/base.py:66
hr	asset_lifecycle_event	created_by_id	public	people	id	mixin_expansion	app/models/people/assets/audit.py:274 via app/models/people/base.py:61
hr	asset_lifecycle_event	updated_by_id	public	people	id	mixin_expansion	app/models/people/assets/audit.py:274 via app/models/people/base.py:66
hr	asset_tracking_event	created_by_id	public	people	id	mixin_expansion	app/models/people/assets/tracking.py:35 via app/models/people/base.py:61
hr	asset_tracking_event	updated_by_id	public	people	id	mixin_expansion	app/models/people/assets/tracking.py:35 via app/models/people/base.py:66
hr	case_action	issued_by_id	hr	employee	employee_id	explicit	app/models/people/discipline/case_action.py:122
hr	case_document	uploaded_by_id	hr	employee	employee_id	explicit	app/models/people/discipline/case_document.py:106
hr	case_witness	employee_id	hr	employee	employee_id	explicit	app/models/people/discipline/case_witness.py:51
hr	checklist_template	created_by_id	public	people	id	mixin_expansion	app/models/people/hr/checklist_template.py:63 via app/models/people/base.py:61
hr	checklist_template	updated_by_id	public	people	id	mixin_expansion	app/models/people/hr/checklist_template.py:63 via app/models/people/base.py:66
hr	clearance_item	assigned_to_id	hr	employee	employee_id	explicit	app/models/people/hr/clearance_checklist.py:93
